5326;Apoteksskogen;50972;2009-02-18 09:40:00.740;2009-02-19 00:00:00.000;
5832;Aprilvägen;51781;2007-08-25 04:03:05.150;2007-08-26 00:00:00.000;
1236;Arbetargatan;10006;2010-02-15 12:25:39.337;2010-02-16 00:00:00.000;
8625;Arbottnavägen;81275;2007-08-25 04:03:05.150;2007-08-26 00:00:00.000;
3863;Arbrågatan;12511;2007-08-25 04:03:05.150;2007-08-26 00:00:00.000;
5337;Ardennergatan;50977;2007-08-25 04:03:05.150;2007-08-26 00:00:00.000;
2845;Ardennervägen;67413;2009-02-18 09:40:00.740;2009-02-19 00:00:00.000;
4439;Argboda;41469;2007-08-25 04:03:05.150;2007-08-26 00:00:00.000;
5019;Arhem;57447;2007-08-25 04:03:05.150;2007-08-26 00:00:00.000;
1026;Arkitektur-/Moderna museet;10329;2009-03-16 12:16:14.413;2009-03-17 00:00:00.000;
9511;Arlanda C;57308;2011-10-05 15:33:16.220;2011-10-06 00:00:00.000;
9513;Arlanda norra;57308;2011-10-05 15:33:16.220;2011-10-06 00:00:00.000;
9514;Arlanda södra;57310;2011-03-14 11:38:23.177;2011-03-18 00:00:00.000;
5002;Arlanda terminal 2 och 3;57313;2011-10-05 15:33:16.220;2011-10-06 00:00:00.000;
5004;Arlanda terminal 4;57310;2011-03-14 11:38:23.177;2011-03-15 00:00:00.000;
5005;Arlanda terminal 5;57308;2011-10-05 15:33:16.220;2011-10-06 00:00:00.000;
5047;Arlandagymnasiet;51053;2007-11-27 16:59:14.247;2007-11-28 00:00:00.000;
5060;Arlandastad;57100;2009-09-20 04:20:51.953;2009-09-21 00:00:00.000;
8293;Armaturvägen norra;80955;2009-02-18 09:40:00.740;2009-02-19 00:00:00.000;
8292;Armaturvägen södra;80957;2009-02-18 09:40:00.740;2009-02-19 00:00:00.000;
3481;Armégatan;12504;2010-02-15 12:25:39.337;2010-02-16 00:00:00.000;
2272;Armévägen;60503;2007-08-25 04:03:05.150;2007-08-26 00:00:00.000;
2288;Arningerondellen;61210;2009-02-18 09:40:00.740;2009-02-19 00:00:00.000;
6881;Arnö vägskäl;64225;2007-08-25 04:03:05.150;2007-08-26 00:00:00.000;
6883;Arnölund;64229;2007-08-25 04:03:05.150;2007-08-26 00:00:00.000;
3662;Aroseniusvägen;12177;2010-02-15 12:25:39.337;2010-02-16 00:00:00.000;
10699;Artemisgatan;10699;2010-03-29 18:16:11.333;2010-03-30 00:00:00.000;
3534;Artillerivägen;12338;2007-08-25 04:03:05.150;2007-08-26 00:00:00.000;
1916;Arvikagatan;13738;2007-08-25 04:03:05.150;2007-08-26 00:00:00.000;
8754;Aska;75457;2007-08-25 04:03:05.150;2007-08-26 00:00:00.000;
7720;Aska;75697;2007-08-25 04:03:05.150;2007-08-26 00:00:00.000;
5720;Aske gård;54877;2007-08-25 04:03:05.150;2007-08-26 00:00:00.000;
3787;Askebykroken;51526;2010-04-14 18:09:37.877;2010-04-15 00:00:00.000;
2025;Askrikevägen;20241;2007-08-25 04:03:05.150;2007-08-26 00:00:00.000;
2824;Askrikevägen;67069;2009-02-18 09:40:00.740;2009-02-19 00:00:00.000;
6463;Asplund;64911;2007-08-25 04:03:05.150;2007-08-26 00:00:00.000;
6463;Asplund;65917;2007-08-25 04:03:05.150;2007-08-26 00:00:00.000;
1522;Asplången;13763;2010-02-15 12:25:39.337;2010-02-16 00:00:00.000;
6113;Aspnäs;63165;2007-08-25 04:03:05.150;2007-08-26 00:00:00.000;
5782;Aspnäs skola;51592;2007-08-25 04:03:05.150;2007-08-26 00:00:00.000;
5796;Aspnäsvägen;51594;2007-08-25 04:03:05.150;2007-08-26 00:00:00.000;
6630;Aspsunds vägskäl;64037;2007-08-25 04:03:05.150;2007-08-26 00:00:00.000;
7391;Asptunavägen;70106;2007-08-25 04:03:05.150;2007-08-26 00:00:00.000;
9293;Aspudden;2611;2007-08-25 04:03:05.150;2007-08-26 00:00:00.000;
9293;Aspudden;13071;2007-08-25 04:03:05.150;2007-08-26 00:00:00.000;
5642;Aspvik;51341;2007-08-25 04:03:05.150;2007-08-26 00:00:00.000;
4230;Aspviks brygga;41128;2007-08-25 04:03:05.150;2007-08-26 00:00:00.000;
4233;Aspviks gård;41121;2007-08-25 04:03:05.150;2007-08-26 00:00:00.000;
6347;Aspvägen;62095;2007-08-25 04:03:05.150;2007-08-26 00:00:00.000;
1965;Aspövägen (på Sköldingevägen);14013;2007-08-25 04:03:05.150;2007-08-26 00:00:00.000;
1955;Aspövägen (på Årdalavägen);13041;2007-08-25 04:03:05.150;2007-08-26 00:00:00.000;
7511;Astrabacken;75839;2007-08-25 04:03:05.150;2007-08-26 00:00:00.000;
3832;Astrakangatan;12589;2007-08-25 04:03:05.150;2007-08-26 00:00:00.000;
6028;Astrid Lindgrens Gata;64894;2011-09-13 14:13:21.710;2011-09-14 00:00:00.000;
3676;Attundavägen;12257;2007-08-25 04:03:05.150;2007-08-26 00:00:00.000;
6039;August Strindbergs gata;63314;2011-09-13 14:13:21.710;2011-09-14 00:00:00.000;
3728;Avestagatan;12248;2007-08-25 04:03:05.150;2007-08-26 00:00:00.000;
5830;Avstyckningsvägen;51785;2007-08-25 04:03:05.150;2007-08-26 00:00:00.000;
9291;Axelsberg;2631;2007-08-25 04:03:05.150;2007-08-26 00:00:00.000;
9291;Axelsberg;70696;2007-08-25 04:03:05.150;2007-08-26 00:00:00.000;
2578;Backa vägskäl;66151;2010-02-15 12:25:39.337;2010-02-16 00:00:00.000;
6385;Backas vägskäl;65115;2007-08-25 04:03:05.150;2007-08-26 00:00:00.000;
6987;Backby;63773;2007-08-25 04:03:05.150;2007-08-26 00:00:00.000;
3810;Backlura;55030;2007-08-25 04:03:05.150;2007-08-26 00:00:00.000;
8536;Backluravägen;75715;2007-08-25 04:03:05.150;2007-08-26 00:00:00.000;
3817;Backlöksvägen;55023;2007-08-25 04:03:05.150;2007-08-26 00:00:00.000;
3659;Backskåran;12209;2007-08-25 04:03:05.150;2007-08-26 00:00:00.000;
3552;Backstugevägen;51115;2009-02-18 09:40:00.740;2009-02-19 00:00:00.000;
6066;Backtorp;62195;2009-02-18 09:40:00.740;2009-02-19 00:00:00.000;
4163;Badhusvägen;40469;2007-08-25 04:03:05.150;2007-08-26 00:00:00.000;
5560;Bagarbyvägen;50597;2007-08-25 04:03:05.150;2007-08-26 00:00:00.000;
9141;Bagarmossen;1941;2007-08-25 04:03:05.150;2007-08-26 00:00:00.000;
9141;Bagarmossen;13001;2007-08-25 04:03:05.150;2007-08-26 00:00:00.000;
3441;Bagartorp;52301;2008-09-18 09:02:31.340;2008-09-19 00:00:00.000;
9956;Bagartorp norra;50023;2008-09-18 09:02:31.340;2008-09-19 00:00:00.000;
9957;Bagartorp södra;50018;2008-09-18 09:02:31.340;2008-09-19 00:00:00.000;
1009251;Baggeby;20991;2009-08-20 17:28:11.750;2009-08-21 00:00:00.000;
1009251;Baggeby;22031;2009-08-20 17:28:11.750;2009-08-21 00:00:00.000;
2064;Baggeby (på Mosstorpsvägen);20771;2009-02-18 09:40:00.740;2009-02-19 00:00:00.000;
2074;Baggeby gårds väg;20981;2007-08-25 04:03:05.150;2007-08-26 00:00:00.000;
9251;Baggeby station;20991;2007-08-25 04:03:05.150;2007-08-26 00:00:00.000;
9251;Baggeby station;22031;2007-08-25 04:03:05.150;2007-08-26 00:00:00.000;
2066;Baggeby torg;21001;2007-08-25 04:03:05.150;2007-08-26 00:00:00.000;
6790;Bagghus vägskäl;64423;2007-08-25 04:03:05.150;2007-08-26 00:00:00.000;
5048;Baldergatan;52038;2007-08-25 04:03:05.150;2007-08-26 00:00:00.000;
4333;Baldersnäs;41205;2007-08-25 04:03:05.150;2007-08-26 00:00:00.000;
4234;Baldersuddevägen;41119;2007-08-25 04:03:05.150;2007-08-26 00:00:00.000;
2152;Baldersvägen;60211;2007-08-25 04:03:05.150;2007-08-26 00:00:00.000;
8166;Balettvägen;70876;2007-08-25 04:03:05.150;2007-08-26 00:00:00.000;
7030;Balingsnäs;70124;2007-08-25 04:03:05.150;2007-08-26 00:00:00.000;
7033;Balingstavägen;70126;2007-08-25 04:03:05.150;2007-08-26 00:00:00.000;
7571;Balticvägen;75142;2007-08-25 04:03:05.150;2007-08-26 00:00:00.000;
2674;Bammarboda vägskäl;62009;2007-08-25 04:03:05.150;2007-08-26 00:00:00.000;
5828;Banangränd;51806;2010-02-15 12:25:39.337;2010-02-16 00:00:00.000;
9163;Bandhagen;1661;2011-03-02 11:51:44.243;2011-03-03 00:00:00.000;
9163;Bandhagen;13037;2011-03-02 11:51:44.243;2011-03-03 00:00:00.000;
1867;Bandhagsvägen;13805;2007-08-25 04:03:05.150;2007-08-26 00:00:00.000;
5473;Bandyvägen;50520;2007-08-25 04:03:05.150;2007-08-26 00:00:00.000;
1114;Banérgatan;10203;2007-08-25 04:03:05.150;2007-08-26 00:00:00.000;
6027;Bangårdsgatan;64490;2011-09-13 14:13:21.710;2011-09-14 00:00:00.000;
7812;Bankesta;75636;2010-02-15 12:25:39.337;2010-02-16 00:00:00.000;
3531;Bankhuset;51155;2010-02-15 12:25:39.337;2010-02-16 00:00:00.000;
9703;Barkarby;6051;2007-08-25 04:03:05.150;2007-08-26 00:00:00.000;
3025;Barkarby;15411;2007-08-25 04:03:05.150;2007-08-26 00:00:00.000;
9703;Barkarby;51454;2007-08-25 04:03:05.150;2007-08-26 00:00:00.000;
