StopID	Name	StopAreaNumber	WGS84 Lat	WGS 84 Long	Zone	Type	Added	Changed	SiteID	Name		
10709	Skogvaktargatan	10694	59.3549818800820	18.1006718783366	A	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	1162	Skogvaktargatan		
10708	Fatbursgatan	10707	59.3144149587691	18.0620050750609	A	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	1338	Fatbursgatan		
63020	Vreta östra	63019	59.7270301651087	18.7845056438537	C	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	6166	Vreta östra		
63021	Angskär-Skogsvik	63021	59.7271789888871	18.8047958355018	C	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	6167	Angskär-Skogsvik		
63022	Angskär-Skogsvik	63021	59.7272457012288	18.8038413187514	C	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	6167	Angskär-Skogsvik		
63023	Angskär-Solbacken	63023	59.7282708418692	18.8159574805145	C	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	6168	Angskär-Solbacken		
10703	Krukmakargatan	10703	59.3181416489777	18.0606499666676	A	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	9297	Mariatorget (t-banan)		
10702	Mariatorget	10701	59.3188467070263	18.0627982631539	A	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	1335	Mariatorget (på Hornsgatan)		
10701	Mariatorget	10701	59.3189067095773	18.0624517031402	A	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	1335	Mariatorget (på Hornsgatan)		
10700	Nimrodsgatan	10691	59.3561280707090	18.0988146528875	A	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	1163	Nimrodsgatan		
10707	Fatbursgatan	10707	59.3144366812555	18.0619449787675	A	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	1338	Fatbursgatan		
63029	Zimsdal	63029	59.720624287843	18.8437593821205	C	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	6151	Zimsdal		
10705	Wollmar Yxkullsgatan	10705	59.3153716613004	18.0617216642902	A	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	1337	Wollmar Yxkullsg (på T.mansg)		
10704	Krukmakargatan	10703	59.3180516286226	18.0602016640413	A	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	9297	Mariatorget (t-banan)		
65033	Diamantgatan	65027	59.7622714798453	18.6962162003982	C	BUSTERM	2013-12-15 00:00:00.000	2013-12-15 00:00:00.000	6010	Diamantgatan		
85305	Hammarvägen	85305	59.0167509308398	18.1360040557814	C	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	8616	Hammarvägen		
52186	Norrsunda kyrka	52185	59.5928844930982	17.8900849839489	C	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	5076	Norrsunda kyrka		
64450	Hasselbacken	64449	59.8889608485822	18.8815723477870	C	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	Missing	Missing		
51267	Rom	51266	59.6685798693521	17.8540294369551	C	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	5170	Rom		
64452	Grundholmen	64451	59.8844659719049	18.8744191323661	C	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	Missing	Missing		
64905	Lovisedals vägskäl	64904	59.6911965982380	18.4125663074564	C	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	6456	Lovisedals vägskäl		
64454	Västtorp	64453	59.8817875848336	18.8667738647452	C	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	Missing	Missing		
52185	Norrsunda kyrka	52185	59.5939082626294	17.8895107816927	C	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	5076	Norrsunda kyrka		
64456	Nors kvarn	64455	59.8782888395870	18.8545875621938	C	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	Missing	Missing		
64901	Beateberg	64901	59.6583355385958	18.4207342129179	C	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	6459	Beateberg		
64458	Nor	64457	59.8761498696241	18.8418133186855	C	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	Missing	Missing		
10619	Kanalvägen	10619	59.3081766817259	18.1066084124413	A	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	4636	Kanalvägen		
64538	Velända norra	64537	59.8691805885763	18.7624565601368	C	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	6768	Velända norra		
51821	Brännbolsvägen	51821	59.4235258963758	17.802908172835	B	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	5847	Brännbolsvägen		
64909	Söderby backe	64909	59.7242169129629	18.3665373494166	C	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	6465	Söderby backe		
20151	Kottla station	20152	59.3444766760399	18.1797649731433	A	BUSTERM	2013-04-11 00:00:00.000	2013-04-11 00:00:00.000	1009245	Kottla station		
51264	Karlshem	51264	59.7303291487689	18.0194131635357	C	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	5153	Karlshem		
63814	Hårnacka vägskäl	63813	59.7754422251155	18.7534630820749	C	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	6733	Hårnacka vägskäl		
20153	Kottla station	20152	59.3442138274333	18.180942746352	A	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	1009245	Kottla station		
70515	Skogsängsskolan	70514	59.1968809012593	17.7604670318739	B	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	7402	Skogsängsskolan		
63816	Hårnackalund	63815	59.7772197790427	18.7602998375041	C	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	6734	Hårnackalund		
1021	Gamla stan	1021	59.3234014331035	18.0671617033001	A	METROSTN	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	1345	Mälartorget		
1022	Gamla stan	1021	59.3233921589772	18.0671786573592	A	METROSTN	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	1345	Mälartorget		
10618	Skanstull	10261	59.3077982526122	18.0757145775544	A	BUSTERM	2014-02-21 00:00:00.000	2014-02-21 00:00:00.000	9190	Skanstull		
5222	Södertälje hamn	5221	59.1790812902131	17.6462637543049	C	RAILWSTN	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	9521	Södertälje hamn		
5223	Södertälje hamn	5221	59.1789629199341	17.6463798485646	C	RAILWSTN	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	9521	Södertälje hamn		
5221	Södertälje hamn	5221	59.1789721395906	17.6463628503415	C	RAILWSTN	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	9521	Södertälje hamn		
