StopID;StopArea;SiteID;Name;Long;Lat;Zone;Type;;;GTFS ID;GTFS Name;GTFS Long;GTFS Lat;One
1932;1931;1932;Kärrtorp;59.2845321217237;18.1144782877982;A2;METROSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7421693;Kärrtorp T-bana;59.284505120648;18.114476668941;1
1942;1941;1942;Bagarmossen;59.2768445065543;18.1321710896897;A2;METROSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7421692;Bagarmossen T-bana;59.276264343421;18.131464960742;1
1951;1951;1951;Skarpnäck;59.2674273060875;18.1335110441534;A2;METROSTN;2011-02-02 18:35:39.423;2011-02-03 00:00:00.000;7421691;Skarpnäck T-bana;59.266819498894;18.133346989795;1
2012;1011;2012;Slussen;59.3194556862381;18.0715024586826;A;METROSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7420101;Slussen T-bana;59.319495066405;18.07233099596;1
2022;1021;2022;Gamla stan;59.3231676154608;18.067181309347;A;METROSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7421653;Gamla Stan T-bana;59.323159907568;18.067620259317;1
2052;1051;3052;T-Centralen;59.3313401624201;18.0614328273147;A;METROSTN;2009-03-04 18:14:23.857;2009-03-16 00:00:00.000;7420749;T-Centralen T-bana;59.330946576895;18.059262909921;1
2102;2101;2102;Östermalmstorg;59.3349688289651;18.0763846822604;A;METROSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7421651;Östermalmstorg T-bana;59.334972903044;18.074082676699;1
2112;2111;2112;Karlaplan;59.3389882958728;18.0919988929512;A;METROSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7421650;Karlaplan T-bana;59.338810580686;18.090862146425;1
2122;2121;2122;Gärdet;59.3451783991449;18.0989905507192;A;METROSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7446012;Kampementsbacken;59.345712163646;18.101822282984;1
2132;2131;2132;Ropsten;59.3574035908516;18.1023655334333;A;METROSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7420757;Ropsten T-bana;59.357298341529;18.102217928879;1
2212;2211;2212;Stadion;59.3407986463753;18.0819421476987;A;METROSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7445963;Nybrogatan;59.340496351598;18.081763916479;1
2222;2221;2222;Tekniska högskolan;59.3465408399007;18.069333220653;A;METROSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7420750;Stockholm Östra station;59.346113260968;18.071713700373;1
2232;2231;2232;Universitetet;59.3653520484776;18.0548942030382;A;METROSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7421645;Universitetet T-bana;59.36556752848;18.054891083238;1
