0;0;0;0;0;0;0;0;0;0;0;0;0;
10801;Norra station;10801;59,3476349785;18,0392166156;A;BUSTERM;0,0015771902;7446187;Norra Stationsgatan (på St Eri;59,3480488173;18,0407385441;1062;0
10338;Norra station;10335;59,3475900386;18,0371213406;A;BUSTERM;0,0036461814;7446187;Norra Stationsgatan (på St Eri;59,3480488173;18,0407385441;1062;0
10273;Norra Stationsgatan;10273;59,3431095435;18,0281603508;A;BUSTERM;0,0004051679;7446058;Norra Stationsgatan (på Karlbe;59,3430487458;18,0285609312;1064;1
10275;Norra Stationsgatan;10273;59,3429788634;18,0289780771;A;BUSTERM;0,0004229589;7446058;Norra Stationsgatan (på Karlbe;59,3430487458;18,0285609312;1064;0
10337;Torsplan;10359;59,3453461773;18,0318051944;A;BUSTERM;0,0011333978;7446074;Torsplan;59,3454255549;18,0329358093;1065;1
10336;Torsplan;10359;59,3453671153;18,0316307513;A;BUSTERM;0,0013063657;7446074;Torsplan;59,3454255549;18,0329358093;1065;0
10360;Torsplan;10359;59,3450601881;18,0343533321;A;BUSTERM;0,0014638524;7446074;Torsplan;59,3454255549;18,0329358093;1065;0
10359;Torsplan;10359;59,3448425128;18,034479717;A;BUSTERM;0,0016503301;7446074;Torsplan;59,3454255549;18,0329358093;1065;0
10176;Norrbackagatan;10176;59,3410398431;18,0305213565;A;BUSTERM;0,0003066626;7446020;Norrbackagatan;59,3408205798;18,0307357524;1066;1
10177;Norrbackagatan;10176;59,3405922326;18,0309667106;A;BUSTERM;0,0003247833;7446020;Norrbackagatan;59,3408205798;18,0307357524;1066;0
10179;Vikingagatan;10178;59,3421732586;18,0319842883;A;BUSTERM;0,0006225168;7446021;Vikingagatan;59,3422344262;18,0326037927;1067;1
10178;Vikingagatan;10178;59,3422865069;18,0332398646;A;BUSTERM;0,0006382005;7446021;Vikingagatan;59,3422344262;18,0326037927;1067;0
10225;Sveaplan;10225;59,3496597489;18,0494250445;A;BUSTERM;0,0004226311;7446037;Sveaplan;59,3495985834;18,0498432261;1070;1
10552;Sveaplan;10225;59,3493279747;18,0504405801;A;BUSTERM;0,0006557903;7446037;Sveaplan;59,3495985834;18,0498432261;1070;0
10551;Sveaplan;10225;59,3493602243;18,0506537115;A;BUSTERM;0,0008448086;7446037;Sveaplan;59,3495985834;18,0498432261;1070;0
10549;Frejgatan;10549;59,3467677672;18,0531023203;A;BUSTERM;0,0005201425;7446131;Frejgatan (på Sveavägen);59,3463230162;18,0533720327;1071;1
10550;Frejgatan;10549;59,3458778449;18,0536764541;A;BUSTERM;0,000539305;7446131;Frejgatan (på Sveavägen);59,3463230162;18,0533720327;1071;0
10563;Wenner-Gren center;10563;59,3503787205;18,0483471075;A;BUSTERM;2,23942349717285E-007;7446134;Wenner-Gren center;59,3503786276;18,0483473112;1072;1
10228;Ynglingagatan;10227;59,3489067122;18,0451729522;A;BUSTERM;0,0004333037;7446039;Ynglingagatan;59,3489801051;18,045599995;1073;1
10227;Ynglingagatan;10227;59,3487992123;18,0462032824;A;BUSTERM;0,0006298237;7446039;Ynglingagatan;59,3489801051;18,045599995;1073;0
10226;Norrtullsgatan;10226;59,346657794;18,0464490061;A;BUSTERM;5,15604264384797E-005;7446038;Norrtullsgatan;59,346692976;18,0464866984;1074;1
10229;Norrtullsgatan;10226;59,3467187704;18,0465585167;A;BUSTERM;7,63100883255126E-005;7446038;Norrtullsgatan;59,346692976;18,0464866984;1074;0
10554;Norrtull;10553;59,3499992005;18,0453504067;A;BUSTERM;0,0001419119;7446132;Norrtull;59,3500869938;18,0454619024;1075;1
10553;Norrtull;10553;59,350265273;18,0455437717;A;BUSTERM;0,0001961785;7446132;Norrtull;59,3500869938;18,0454619024;1075;0
10836;Vanadisvägen;10231;59,3457074786;18,0453139137;A;BUSTERM;0,0007410456;7446041;Vanadisvägen;59,3456752063;18,0445735712;1076;1
10231;Vanadisvägen;10231;59,3458243859;18,0453040308;A;BUSTERM;0,0007455373;7446041;Vanadisvägen;59,3456752063;18,0445735712;1076;0
10230;Frejgatan;10230;59,3445244388;18,0467479764;A;BUSTERM;0,0001412904;7446040;Frejgatan (på Upplandsgatan);59,3443975631;18,0468101499;1077;1
10235;Frejgatan;10230;59,3442702695;18,0469070375;A;BUSTERM;0,0001599715;7446040;Frejgatan (på Upplandsgatan);59,3443975631;18,0468101499;1077;0
10759;Norra Stationsgatan;10759;59,3475612973;18,0403722242;A;BUSTERM;0,0006098082;7446187;Norra Stationsgatan (på St Eri;59,3480488173;18,0407385441;1078;1
10760;Norra Stationsgatan;10759;59,3485272512;18,0411214407;A;BUSTERM;0,0006127878;7446187;Norra Stationsgatan (på St Eri;59,3480488173;18,0407385441;1078;0
10192;Odengatan;10192;59,3465503967;18,0656767631;A;BUSTERM;0,000000224;7446028;Odengatan;59,3465503038;18,0656769669;1082;1
10193;Valhallavägen;10193;59,3465882417;18,0660836685;A;BUSTERM;0,0001077929;7446029;Valhallavägen/Odengatan;59,3466957832;18,0660910265;1082;0
10191;Roslagsgatan;10191;59,3459707421;18,061295524;A;BUSTERM;0,0006891743;7446027;Roslagsgatan;59,3454852221;18,0608064111;1083;1
10190;Roslagsgatan;10191;59,3450869895;18,0599534702;A;BUSTERM;0,0009413275;7446027;Roslagsgatan;59,3454852221;18,0608064111;1083;0
10770;Roslagstull;67043;59,3497180215;18,0601022233;A;BUSTERM;0,0003285153;7468690;Roslagstull (på Valhallavägen);59,3498755737;18,0598139533;1084;1
67043;Roslagstull;67043;59,350159796;18,059480905;A;BUSTERM;0,0004378396;7468690;Roslagstull (på Valhallavägen);59,3498755737;18,0598139533;1084;0
10108;Jarlaplan;10107;59,3441370082;18,0624397347;A;BUSTERM;0,0005032148;7445997;Jarlaplan;59,344440206;18,0620381177;1085;1
10107;Jarlaplan;10107;59,3448013562;18,0614113617;A;BUSTERM;0,000723362;7445997;Jarlaplan;59,344440206;18,0620381177;1085;0
10633;Engelbrektskyrkan;10632;59,3436010531;18,0669399778;A;BUSTERM;0,0006617322;7446152;Engelbrektskyrkan;59,3432144915;18,0674770622;1086;1
10632;Engelbrektskyrkan;10632;59,3428797976;18,0681402267;A;BUSTERM;0,0007428372;7446152;Engelbrektskyrkan;59,3432144915;18,0674770622;1086;0
10489;Runebergsplan;10489;59,3420940407;18,0699514289;A;BUSTERM;0,0009003086;7446117;Runebergsplan;59,3417205246;18,0707706001;1087;1
10490;Runebergsplan;10489;59,3413555484;18,0716250616;A;BUSTERM;0,0009291459;7446117;Runebergsplan;59,3417205246;18,0707706001;1087;0
10111;Tegnérgatan;10110;59,3414595087;18,0646001665;A;BUSTERM;0,0001223725;7445999;Tegnérgatan (Birger Jarlsg);59,3415386203;18,0646935281;1088;1
10110;Tegnérgatan;10110;59,3416176135;18,0648040421;A;BUSTERM;0,0001358428;7445999;Tegnérgatan (Birger Jarlsg);59,3415386203;18,0646935281;1088;0
10112;Eriksbergsgatan;10112;59,3396763229;18,067487696;A;BUSTERM;0,0001647004;7446000;Eriksbergsgatan;59,3396196707;18,0676423464;1089;1
10113;Eriksbergsgatan;10112;59,3393719679;18,0674323026;A;BUSTERM;0,0003247692;7446000;Eriksbergsgatan;59,3396196707;18,0676423464;1089;0
10575;Roslagstull;10575;59,3493973518;18,0583929372;A;BUSTERM;0,000017361;7446136;Roslagstull (på Ingemarsgatan);59,3493975623;18,0583755774;1090;1
10039;Ruddammen;10022;59,3522574326;18,0586527717;A;BUSTERM;0,0001266465;7445957;Ruddammen;59,3522193368;18,0587735527;1091;1
10022;Ruddammen;10022;59,3521718501;18,0589284613;A;BUSTERM;0,0001620237;7445957;Ruddammen;59,3522193368;18,0587735527;1091;0
10105;Surbrunnsgatan;10105;59,346199824;18,0599920709;A;BUSTERM;6,58349473999948E-005;7445996;Surbrunnsgatan;59,3462529412;18,0600309658;1092;1
10106;Surbrunnsgatan;10105;59,3462966673;18,0601039824;A;BUSTERM;8,51081797638977E-005;7445996;Surbrunnsgatan;59,3462529412;18,0600309658;1092;0
10404;Stickelbärsvägen;10403;59,349849236;18,0644541355;A;BUSTERM;0,0001189746;7446091;Stickelbärsvägen;59,3499654428;18,0644796488;1093;1
10403;Stickelbärsvägen;10403;59,3500815312;18,0645223185;A;BUSTERM;0,0001236819;7446091;Stickelbärsvägen;59,3499654428;18,0644796488;1093;0
10602;Körsbärsvägen;10601;59,34792852;18,0654342762;A;BUSTERM;0,0008243952;7446146;Körsbärsvägen;59,3484070176;18,0647629585;1094;1
10601;Körsbärsvägen;10601;59,3488856978;18,0640912145;A;BUSTERM;0,0008248483;7446146;Körsbärsvägen;59,3484070176;18,0647629585;1094;0
10240;Johannes skola;10240;59,3508282759;18,0535289578;A;BUSTERM;0,000000224;7446045;Johannes skola;59,350828183;18,0535291615;1095;1
10221;Roslagstull;10101;59,3519016672;18,0548132772;A;BUSTERM;1,73623371921998E-005;7445993;Roslagstull (på Roslagsvägen);59,3519018772;18,0547959161;1095;0
69010;Albano;69009;59,3562671317;18,0552603783;A;BUSTERM;0,0009239563;7468909;Albano;59,3568199981;18,0560006714;1096;1
69009;Albano;69009;59,3573727427;18,0567581489;A;BUSTERM;0,0009377092;7468909;Albano;59,3568199981;18,0560006714;1096;0
10103;Frejgatan;10103;59,3477995839;18,0593948086;A;BUSTERM;0,0004718366;7445995;Frejgatan (på Roslagsgatan);59,3479508969;18,0589478924;1097;1
10126;Frejgatan;10103;59,3481023942;18,0585005646;A;BUSTERM;0,0004722855;7445995;Frejgatan (på Roslagsgatan);59,3479508969;18,0589478924;1097;0
10237;Universitetsvägen;10237;59,3621132681;18,0578460915;A;BUSTERM;1,73675213638757E-005;7446043;Universitetsvägen;59,3621134786;18,0578287253;1098;1
10211;Strandvägen;10211;59,3321831069;18,0929300413;A;BUSTERM;0,0003796562;7446034;Stockholm Strandvägen;59,332539941;18,0930596882;1100;1
10214;Strandvägen;10211;59,3328966528;18,093206485;A;BUSTERM;0,0003857365;7446034;Stockholm Strandvägen;59,332539941;18,0930596882;1100;0
10305;Djurgårdsbron;10224;59,3316495641;18,0926305584;A;BUSTERM;0,0008728678;7446036;Stockholm Djurgårdsbron;59,3318230405;18,0934860139;1100;0
4309;Djurgårdsbron;4309;59,3317862611;18,0925167228;A;TRAMSTN;0,0009699886;7446036;Stockholm Djurgårdsbron;59,3318230405;18,0934860139;1100;0
10304;Djurgårdsbron;10224;59,3317914968;18,0922183048;A;BUSTERM;0,0012681014;7446036;Stockholm Djurgårdsbron;59,3318230405;18,0934860139;1100;0
4308;Djurgårdsbron;4309;59,3319022091;18,0920499969;A;TRAMSTN;0,0014381976;7446036;Stockholm Djurgårdsbron;59,3318230405;18,0934860139;1100;0
10095;Fredrikshovsgatan;10094;59,3341936065;18,0950337008;A;BUSTERM;8,88864049915161E-005;7445990;Fredrikshovsgatan;59,3342009411;18,095122284;1102;1
10094;Fredrikshovsgatan;10094;59,3342078449;18,0952455703;A;BUSTERM;0,0001234794;7445990;Fredrikshovsgatan;59,3342009411;18,095122284;1102;0
10092;Historiska museet;10092;59,334905336;18,0913202614;A;BUSTERM;0,0003125024;7445989;Historiska museet;59,3346770059;18,0915336228;1103;1
10209;Historiska museet;10092;59,3343341067;18,0916334076;A;BUSTERM;0,000357123;7445989;Historiska museet;59,3346770059;18,0915336228;1103;0
10093;Historiska museet;10092;59,3348762306;18,0909316279;A;BUSTERM;0,0006341044;7445989;Historiska museet;59,3346770059;18,0915336228;1103;0
